Marque,Modèle,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Type de Carburant,Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min
FORD,KA 3P 1300 (70ch),5,51.0,M 5,8.4,4.9,6.2,147,ES,,,,
FORD,KA 3P 1300 (70ch),5,51.0,M 5,8.5,4.8,6.2,147,ES,,,,
FORD,KA 3P 1300 (70ch),5,51.0,M 5,8.5,4.9,6.2,148,ES,,,,
FORD,KA 3P 1300 (70ch),5,51.0,M 5,8.7,4.9,6.3,150,ES,,,,
FORD,KA 3P 1300 (70ch),5,51.0,M 5,8.9,5.1,6.5,154,ES,,,,
FORD,MONDEO 4P 1800 (125ch),8,92.0,M 5,11.3,5.6,7.7,184,ES,,,,
FORD,MONDEO 4P 2000 (145ch),9,107.0,M 5,11.5,5.8,7.9,189,ES,,,,
FORD,MONDEO 4P 2000 (145ch) BVA4,10,107.0,A 4,12.6,7.2,9.1,218,ES,,,,
FORD,MONDEO 4P 2000 TDCi (115ch),7,85.0,M 5,7.7,4.6,5.8,154,GO,,,,
FORD,MONDEO 4P 2000 TDCi (115ch),7,85.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 4P 2000 TDCi (115ch) FAP,7,85.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 4P 2000 TDCi (130ch),8,96.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 4P 2000 TDCi (130ch) FAP,8,96.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 4P 2200 TDCi (155ch),9,110.0,M 6,8.2,4.9,6.1,161,GO,,,,
FORD,MONDEO 4P 2200 TDCi (155ch),9,114.0,M 6,8.2,4.9,6.1,161,GO,,,,
FORD,MONDEO 4P 3000 V6 (200ch),14,150.0,M 6,15.1,7.5,10.3,247,ES,,,,
FORD,MONDEO 4P 3000 V6 (225ch),15,166.0,M 6,14.5,8.0,10.4,249,ES,,,,
FORD,MONDEO 5P 1800 (125ch),8,92.0,M 5,11.3,5.6,7.7,184,ES,,,,
FORD,MONDEO 5P 2000 (145ch),9,107.0,M 5,11.5,5.8,7.9,189,ES,,,,
FORD,MONDEO 5P 2000 (145ch) BVA4,10,107.0,A 4,12.6,7.2,9.1,218,ES,,,,
FORD,MONDEO 5P 2000 TDCi (115ch),7,85.0,M 5,7.7,4.6,5.8,154,GO,,,,
FORD,MONDEO 5P 2000 TDCi (115ch),7,85.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 5P 2000 TDCi (115ch) FAP,7,85.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 5P 2000 TDCi (130ch),8,96.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 5P 2000 TDCi (130ch) FAP,8,96.0,M 6,8.1,4.8,6.0,159,GO,,,,
FORD,MONDEO 5P 2200 TDCi (155ch),9,110.0,M 6,8.2,4.9,6.1,161,GO,,,,
FORD,MONDEO 5P 2200 TDCi (155ch),9,114.0,M 6,8.2,4.9,6.1,161,GO,,,,
FORD,MONDEO 5P 3000 V6 (200ch),14,150.0,M 6,15.1,7.5,10.3,247,ES,,,,
FORD,MONDEO CLIPPER 1800 (125ch),8,92.0,M 5,11.4,5.8,7.9,189,ES,,,,
FORD,MONDEO CLIPPER 2000 (145ch),9,107.0,M 5,11.6,6.0,8.1,193,ES,,,,
FORD,MONDEO CLIPPER 2000 (145ch) BVA4,10,107.0,A 4,12.7,7.3,9.2,221,ES,,,,
FORD,MONDEO CLIPPER 2000 TDCi (115ch),7,85.0,M 5,7.8,4.8,5.9,157,GO,,,,
FORD,MONDEO CLIPPER 2000 TDCi (115ch),7,85.0,M 6,8.3,5.0,6.2,163,GO,,,,
FORD,MONDEO CLIPPER 2000 TDCi (115ch) FAP,7,85.0,M 6,8.3,5.0,6.2,163,GO,,,,
FORD,MONDEO CLIPPER 2000 TDCi (130ch),8,96.0,M 6,8.3,5.0,6.2,163,GO,,,,
FORD,MONDEO CLIPPER 2000 TDCi (130ch) FAP,8,96.0,M 6,8.3,5.0,6.2,163,GO,,,,
FORD,MONDEO CLIPPER 2200 TDCi (155ch),9,110.0,M 6,8.4,5.1,6.3,166,GO,,,,
FORD,MONDEO CLIPPER 2200 TDCi (155ch),9,114.0,M 6,8.4,5.1,6.3,166,GO,,,,
FORD,MONDEO CLIPPER 3000 V6 (200ch),14,150.0,M 6,15.3,7.7,10.5,252,ES,,,,
FORD,MONDEO CLIPPER 3000 V6 ST220,15,166.0,M 6,14.6,8.2,10.6,254,ES,,,,
FORD,MONDEO III 4P 1600 (110ch),7,81.0,M 5,10.0,5.6,7.2,172,ES,,,,
FORD,MONDEO III 4P 1600 (125ch),8,92.0,M 5,10.3,5.7,7.4,177,ES,,,,
FORD,MONDEO III 4P 1800 TDCi (100ch),6,74.0,M 5,7.4,4.7,5.7,151,GO,,,,
FORD,MONDEO III 4P 1800 TDCi (125ch) BVM6,7,92.0,M 6,7.5,4.8,5.8,154,GO,,,,
FORD,MONDEO III 4P 2000 (145ch),9,107.0,M 5,11.2,6.0,7.9,189,ES,,,,
FORD,MONDEO III 4P 2000 TDCi (140ch) BVM6,8,103.0,M 6,7.6,4.9,5.9,156,GO,,,,
FORD,MONDEO III 4P 2000 TDCi (145ch) BVA6,8,96.0,A 6,9.8,5.6,7.1,189,GO,,,,
FORD,MONDEO III 4P 2500 (220ch),14,162.0,M 6,13.6,6.8,9.3,222,ES,,,,
FORD,MONDEO III 5P 1600 (110ch),7,81.0,M 5,10.0,5.6,7.2,172,ES,,,,
FORD,MONDEO III 5P 1600 (125ch),8,92.0,M 5,10.3,5.7,7.4,177,ES,,,,
FORD,MONDEO III 5P 1800 TDCi (100ch),6,74.0,M 5,7.4,4.7,5.7,151,GO,,,,
FORD,MONDEO III 5P 1800 TDCi (125ch) BVM6,7,92.0,M 6,7.5,4.8,5.8,154,GO,,,,
FORD,MONDEO III 5P 2000 (145ch),9,107.0,M 5,11.2,6.0,7.9,189,ES,,,,
FORD,MONDEO III 5P 2000 TDCi (140ch) BVM6,8,103.0,M 6,7.6,4.9,5.9,156,GO,,,,
FORD,MONDEO III 5P 2000 TDCi (145ch) BVA6,8,96.0,A 6,9.8,5.6,7.1,189,GO,,,,
FORD,MONDEO III 5P 2500 (220ch),14,162.0,M 6,13.6,6.8,9.3,222,ES,,,,
FORD,MONDEO III SW 1600 (110ch),7,81.0,M 5,10.0,5.6,7.2,172,ES,,,,
FORD,MONDEO III SW 1600 (125ch),8,92.0,M 5,10.3,5.7,7.4,177,ES,,,,
FORD,MONDEO III SW 1800 TDCi (100ch),6,74.0,M 5,7.5,4.8,5.8,154,GO,,,,
FORD,MONDEO III SW 1800 TDCi (125ch) BVM6,7,92.0,M 6,7.6,4.9,5.9,156,GO,,,,
FORD,MONDEO III SW 2000 (145ch),9,107.0,M 5,11.2,6.0,7.9,189,ES,,,,
FORD,MONDEO III SW 2000 TDCi (140ch) BVM6,8,103.0,M 6,7.6,4.9,5.9,156,GO,,,,
FORD,MONDEO III SW 2000 TDCi (145ch) BVA6,8,96.0,A 6,9.8,5.6,7.1,189,GO,,,,
FORD,MONDEO III SW 2500 (220ch),14,162.0,M 6,13.6,6.8,9.3,222,ES,,,,
FORD,S-MAX 1800 TDCi (125ch),7,92.0,M 5,7.9,5.2,6.2,164,GO,,,,
FORD,S-MAX 1800 TDCi (125ch),7,92.0,M 6,7.9,5.2,6.2,164,GO,,,,
FORD,S-MAX 2000 (145ch),9,107.0,M 5,11.0,6.4,8.1,194,ES,,,,
FORD,S-MAX 2000 TDCi (140ch),8,103.0,M 6,8.1,5.4,6.4,169,GO,,,,
FORD,S-MAX 2000 TDCi (140ch) FAP,8,103.0,M 6,8.1,5.4,6.4,169,GO,,,,
FORD,S-MAX 2500 (220ch),14,162.0,M 6,13.3,7.1,9.4,224,ES,,,,
FORD,TOURNEO 2200 TDCi (110ch),8,81.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TOURNEO 2200 TDCi (130ch),9,96.0,M 5,10.1,7.0,8.1,215,GO,,,,
FORD,TOURNEO 2200 TDCi (85ch),7,63.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TOURNEO CONNECT 210C 1800 TDCi (110ch),7,81.0,M 5,7.6,5.2,6.0,163,GO,,,,
FORD,TOURNEO CONNECT 210C 1800 TDCi (110ch),7,81.0,M 5,7.6,5.2,6.0,163,GO,,,,
FORD,TOURNEO CONNECT 210C 1800 TDCi (75ch),5,55.0,M 5,7.8,5.5,6.3,171,GO,,,,
FORD,TOURNEO CONNECT 210C 1800 TDCi (75ch),5,55.0,M 5,7.8,5.5,6.3,171,GO,,,,
FORD,TOURNEO CONNECT 210C 1800 TDCi (90ch),6,66.0,M 5,7.9,5.5,6.4,172,GO,,,,
FORD,TOURNEO CONNECT 210C 1800 TDCi (90ch),6,66.0,M 5,7.9,5.5,6.4,172,GO,,,,
FORD,TOURNEO CONNECT 220L 1800 TDCi (110ch),7,81.0,M 5,7.6,5.2,6.0,163,GO,,,,
FORD,TOURNEO CONNECT 220L 1800 TDCi (110ch) 8 PLACES,7,81.0,M 5,7.6,5.2,6.0,163,GO,,,,
FORD,TOURNEO CONNECT 220L 1800 TDCi (90ch),6,66.0,M 5,7.9,5.5,6.4,172,GO,,,,
FORD,TOURNEO CONNECT 220L 1800 TDCi (90ch) 8 PLACES,6,66.0,M 5,7.9,5.5,6.4,172,GO,,,,
FORD,TRANSIT KOMBI 300C 2200 TDCi (110ch),8,81.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300C 2200 TDCi (130ch),9,96.0,M 5,10.1,7.0,8.1,215,GO,,,,
FORD,TRANSIT KOMBI 300C 2200 TDCi (85ch),7,63.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300CP 2200 TDCi (110ch),8,81.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300CP 2200 TDCi (130ch),9,96.0,M 5,10.1,7.0,8.1,215,GO,,,,
FORD,TRANSIT KOMBI 300CP 2200 TDCi (85ch),7,63.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300M 2200 TDCi (110ch),8,81.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300M 2200 TDCi (110ch),8,81.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300M 2200 TDCi (130ch),9,96.0,M 5,10.1,7.0,8.1,215,GO,,,,
FORD,TRANSIT KOMBI 300M 2200 TDCi (130ch),9,96.0,M 5,10.1,7.0,8.1,215,GO,,,,
FORD,TRANSIT KOMBI 300M 2200 TDCi (85ch),7,63.0,M 5,9.6,6.9,7.9,208,GO,,,,
FORD,TRANSIT KOMBI 300M 2200 TDCi (85ch),7,63.0,M 5,9.6,6.9,7.9,208,GO,,,,
HONDA,ACCORD 2.0i Comfort,9,114.0,M 5,10.6,6.2,7.8,184,ES,,,,
HONDA,ACCORD 2.0i Sport,10,114.0,M 5,10.9,6.3,8.0,189,ES,,,,
HONDA,ACCORD 2.2i CTDi Executive,8,103.0,M 6,7.2,4.7,5.6,148,GO,,,,
HONDA,ACCORD 2.2i CTDi Sport,8,103.0,M 6,7.2,4.5,5.5,145,GO,,,,
HONDA,ACCORD 2.4i Executive,12,140.0,M 6,12.7,6.9,9.0,214,ES,,,,
HONDA,ACCORD 2.4i Executive AT,12,140.0,A 5,13.7,6.9,9.4,223,ES,,,,
HONDA,ACCORD TOURER 2.0i Comfort,10,114.0,M 5,11.4,6.9,8.5,202,ES,,,,
HONDA,ACCORD TOURER 2.2i CTDi Sport /Executive,8,103.0,M 6,7.7,4.9,5.9,155,GO,,,,
HONDA,ACCORD TOURER 2.4i Executive,13,140.0,M 6,13.3,7.7,9.7,230,ES,,,,
HONDA,ACCORD TOURER 2.4i Executive AT,13,140.0,A 5,14.3,7.5,10.0,237,ES,,,,
HONDA,CIVIC 3P 1.8i Type S,8,103.0,M 6,8.4,5.5,6.6,156,ES,,,,
HONDA,CIVIC 3P 1.8i Type S Auto,8,103.0,A 6,9.1,5.5,6.8,160,ES,,,,
HONDA,CIVIC 3P 2.0i Type R,13,148.0,M 6,12.7,7.0,9.1,215,ES,,,,
HONDA,CIVIC 3P 2.2i CTDi Type S,8,103.0,M 6,6.7,4.4,5.2,138,GO,,,,
HONDA,CIVIC 5P 1.4i Comfort,5,61.0,M 6,7.6,4.9,5.9,139,ES,,,,
HONDA,CIVIC 5P 1.4i Comfort i-shift,5,61.0,A 6,7.5,5.0,5.9,139,ES,,,,
HONDA,CIVIC 5P 1.8i Executive i-shift,8,103.0,A 6,9.1,5.5,6.8,160,ES,,,,
HONDA,CIVIC 5P 1.8i Sport / Executive,8,103.0,M 6,8.4,5.5,6.6,156,ES,,,,
HONDA,CIVIC 5P 2.2i CTDi Comfort,8,103.0,M 6,6.6,4.3,5.1,135,GO,,,,
HONDA,CIVIC 5P 2.2i CTDi Sport /Executive,8,103.0,M 6,6.7,4.5,5.3,140,GO,,,,
HONDA,CIVIC HYBRID,5,70.0,V 0,5.2,4.3,4.6,109,ES,,,,
HONDA,CR-V 2.0i,9,110.0,M 6,10.4,6.7,8.1,192,ES,,,,
HONDA,CR-V 2.0i AT,9,110.0,A 5,10.9,6.7,8.2,195,ES,,,,
HONDA,CR-V 2.2i-CTDi,8,103.0,M 6,8.1,5.7,6.5,173,GO,,,,
HONDA,FR-V 1.8,8,103.0,M 6,9.4,6.3,7.5,177,ES,,,,
HONDA,FR-V 1.8 AT,9,103.0,A 5,10.6,6.6,8.1,190,ES,,,,
HONDA,FR-V 2.2i-CTDi,8,103.0,M 6,8.0,5.3,6.3,167,GO,,,,
HONDA,JAZZ 1.2 LIVE,5,57.0,M 5,6.8,4.7,5.5,129,ES,,,,
HONDA,JAZZ 1.4 GRAPHITE,5,61.0,M 5,7.3,5.1,5.8,137,ES,,,,
HONDA,JAZZ 1.4 GRAPHITE CVT,5,61.0,V 0,7.2,5.1,5.9,139,ES,,,,
HONDA,JAZZ 1.4 LS,5,61.0,M 5,6.9,4.9,5.7,134,ES,,,,
HONDA,JAZZ 1.4 LS CVT,5,61.0,V 0,7.2,5.0,5.8,137,ES,,,,
HONDA,LEGEND 3.5 V6 EXECUTIVE AUTO BVA5,21,217.0,A 5,17.0,8.9,11.9,282,ES,,,,
HONDA,S 2000,16,177.0,M 6,13.9,7.8,10.0,236,ES,,,,
HYUNDAI,ATOS PRIME 1.1 PACK,4,46.3,M 5,6.7,4.7,5.4,128,ES,,,,
HYUNDAI,AZERA 2.2 CRDi (155ch) PACK PREMIUM,10,114.0,A5,10.4,6.4,7.9,208,GO,,,,
HYUNDAI,COUPE 2.0 PACK Luxe,9,105.0,M 5,10.9,6.4,8.0,193,ES,,,,
HYUNDAI,COUPE 2.7 V6 PACK Luxe,11,121.0,M 6,14.0,7.6,9.9,236,ES,,,,
HYUNDAI,GETZ 5P 1.1Clim / PACK Sound,4,48.5,M 5,6.9,4.7,5.5,130,ES,,,,
HYUNDAI,GETZ 5P 1.5 CRDi (110ch) PACK Confort III,6,81.0,M 5,5.5,3.9,4.5,118,GO,,,,
HYUNDAI,GETZ 5P 1.5 CRDi (88ch) Clim / PACK Sound,5,65.0,M 5,5.5,3.9,4.5,118,GO,,,,
HYUNDAI,i30 1.4 PACK Clim,6,80.0,M 5,7.6,5.2,6.1,145,ES,,,,
HYUNDAI,i30 1.6 CRDi (115ch) PACK Confort,6,84.6,M 5,5.7,4.1,4.7,125,GO,,,,
HYUNDAI,i30 1.6 CRDi PACK Clim / PACK Confort,5,66.0,M 5,5.7,4.1,4.7,125,GO,,,,
HYUNDAI,MATRIX 1.5 CRDi (110ch) PACK Confort II,6,81.0,M 5,6.5,4.6,5.3,140,GO,,,,
HYUNDAI,MATRIX 1.6 PACK Confort II,7,76.0,M 5,9.1,6.3,7.3,174,ES,,,,
HYUNDAI,MATRIX 1.6 PACK Confort II BVA,7,76.0,A 4,11.1,6.6,8.3,198,ES,,,,
HYUNDAI,SANTA FE 2.2 CRDi (155ch) 2WD PACK Confort,9,114.0,M 5,9.2,5.7,7.0,185,GO,,,,
HYUNDAI,SANTA FE 2.2 CRDi (155ch) 2WD PACK Confort 7PL,10,114.0,M 5,9.3,5.8,7.1,189,GO,,,,
HYUNDAI,SANTA FE 2.2 CRDi (155ch) 4WD PACK Confort / executive,10,114.0,M 5,9.4,6.0,7.3,191,GO,,,,
HYUNDAI,SANTA FE 2.2 CRDi (155ch) 4WD PACK Confort / executive 7PL,10,114.0,M 5,9.4,6.0,7.3,191,GO,,,,
HYUNDAI,SANTA FE 2.2 CRDi (155ch) 4WD PACK executive 7PL BVA,10,114.0,A 5,10.7,6.7,8.2,218,GO,,,,
HYUNDAI,SANTA FE 2.2 CRDi (155ch) 4WD PACK executive BVA,10,114.0,A5,10.4,6.7,8.1,212,GO,,,,
HYUNDAI,SATELLITE 2.5 CRDi Euro IV PACK Clim 9PL,10,103.0,M 5,11.2,7.1,8.6,227,GO,,,,
HYUNDAI,SONATA 2.0 CRDi (140ch) PACK Confort / Luxe M,8,103.0,M 6,8.2,5.0,6.1,163,GO,,,,
HYUNDAI,SONATA 2.0 CRDi (140ch) PACK Luxe BVA,9,103.0,A 4,10.6,5.5,7.3,191,GO,,,,
HYUNDAI,TUCSON 2.0 2WD PACK Confort,9,104.0,M5,10.4,6.6,8.0,190,ES,,,,
HYUNDAI,TUCSON 2.0 CRDi (140ch) 2WD PACK Confort,9,100.0,M 6,8.8,5.9,7.0,184,GO,,,,
HYUNDAI,TUCSON 2.0 CRDi (140ch) 2WD PACK Luxe BVA,9,100.0,A4,10.3,6.6,8.0,210,GO,,,,
HYUNDAI,TUCSON 2.0 CRDi (140ch) 4WD PACK Confort / Luxe / Style,9,103.0,M 6,8.9,6.2,7.1,187,GO,,,,
JAGUAR,S-TYPE 2.7L D,12,152.0,M 6,9.3,5.5,6.8,179,GO,,,,
JAGUAR,S-TYPE 2.7L D BVA,13,152.0,A 6,10.7,6.2,7.8,208,GO,,,,
JAGUAR,S-TYPE 3.0L V6,16,175.0,M 5,15.8,7.3,10.3,249,ES,,,,
JAGUAR,S-TYPE 3.0L V6 BVA,16,175.0,A 6,16.3,7.8,10.8,259,ES,,,,
JAGUAR,S-TYPE 4.2L BVA,21,218.9,A 6,17.2,8.4,11.5,274,ES,,,,
JAGUAR,S-TYPE 4.2L SURALIMENTE R  BVA,30,290.8,A 6,18.6,9.3,12.4,294,ES,,,,
JAGUAR,SUPER 4.2L V8 SURALIMENTE CHASSIS COURT 4PL,30,290.8,A 6,17.9,8.7,12.1,289,ES,,,,
JAGUAR,SUPER 4.2L V8 SURALIMENTE CHASSIS LONG 4PL,30,290.8,A 6,17.9,8.7,12.1,289,ES,,,,
JAGUAR,SUPER 4.2L V8 SURALIMENTE CHASSIS LONG 5PL,30,290.8,A 6,17.9,8.7,12.1,289,ES,,,,
JAGUAR,X TYPE 2.2L D ESTATE FAP,8,107.0,M 6,8.3,4.9,6.2,164,GO,,,,
JAGUAR,X TYPE 2.2L D FAP,8,107.0,M 6,8.2,4.8,6.0,159,GO,,,,
JAGUAR,X TYPE 2.5LV6,13,143.5,M 5,13.6,7.2,9.6,234,ES,,,,
JAGUAR,X TYPE 2.5LV6  BVA5,13,143.5,A 5,15.0,7.6,10.3,244,ES,,,,
JAGUAR,XJ6 2.7L V6 BI TURBO CHASSIS LONG 5PL,13,152.0,A 6,10.8,6.5,8.1,214,GO,,,,
JAGUAR,XJ6 3.0L V6 CHASSIS COURT 5PL,16,175.0,A 6,15.6,7.4,10.5,249,ES,,,,
JAGUAR,XJ6/SOVEREIGN 2.7L D V6 BI TURBO CHASSIS COURT 5PL,13,152.0,A 6,10.8,6.5,8.1,214,GO,,,,
JAGUAR,XJ8 3.5L V8 CHASSIS COURT 5PL,18,190.0,A 6,15.6,7.9,10.7,254,ES,,,,
JAGUAR,XJ8 3.5L V8 CHASSIS LONG 5PL,18,190.0,A 6,15.6,7.9,10.7,254,ES,,,,
JAGUAR,XJ8/SOVEREIGN 4.2L V8 CHASSIS COURT 5PL,21,218.9,A 6,16.7,8.4,11.4,269,ES,,,,
JAGUAR,XJ8/SOVEREIGN 4.2L V8 CHASSIS LONG 5PL,21,218.9,A 6,16.7,8.4,11.4,269,ES,,,,
JAGUAR,XJR / SUPER 4.2L V8 SURALIMENTE CHASSIS COURT 5PL,30,290.8,A 6,17.9,8.7,12.1,289,ES,,,,
JAGUAR,XK8 V8 4.2L CABRIOLET,21,218.9,A 6,17.1,8.1,11.3,269,ES,,,,
JAGUAR,XK8 V8 4.2L COUPE,21,218.9,A 6,17.1,8.1,11.3,269,ES,,,,
JAGUAR,XKR CABRIOLET,32,306.0,A 6,19.1,8.6,12.3,294,ES,,,,
JAGUAR,XKR COUPE,32,306.0,A 6,19.1,8.6,12.3,294,ES,,,,
JAGUAR,X-TYPE 2.0L D,7,96.0,M 5,7.6,4.5,5.6,149,GO,,,,
JAGUAR,X-TYPE 2.2L,9,114.0,M 6,8.3,4.7,6.0,159,GO,,,,
JAGUAR,X-TYPE 3.0L V6,15,169.4,M 5,14.8,7.7,10.3,244,ES,,,,
JAGUAR,X-TYPE 3.0L V6  BVA5,16,169.4,A 5,15.1,7.8,10.5,249,ES,,,,
JAGUAR,X-TYPE ESTATE 2.0L D,7,96.0,M 5,7.8,4.7,5.8,154,GO,,,,
JAGUAR,X-TYPE ESTATE 2.2L D,9,114.0,M 6,8.4,4.9,6.2,164,GO,,,,
JAGUAR,X-TYPE ESTATE 2.5LV6,13,143.5,M 5,13.8,7.3,9.7,239,ES,,,,
JAGUAR,X-TYPE ESTATE 2.5LV6 BVA5,13,143.5,A 5,15.2,7.7,10.4,249,ES,,,,
JAGUAR,X-TYPE ESTATE 3.0L V6,16,169.4,M 5,14.9,7.8,10.4,249,ES,,,,
JAGUAR,X-TYPE ESTATE 3.0L V6 BVA5,16,169.4,A 5,15.2,7.9,10.6,254,ES,,,,
JEEP,CHEROKEE 2.5L TD BVM5,9,85.0,M 5,12.1,8.0,9.5,256,GO,,,,
JEEP,CHEROKEE 2.8L CRD BVA5,12,120.0,A 5,13.2,8.9,10.5,277,GO,,,,
JEEP,CHEROKEE 2.8L CRD BVM6,11,120.0,M 6,12.0,7.7,9.3,246,GO,,,,
JEEP,CHEROKEE 3.7L BVA4,15,150.0,A 4,17.0,9.0,12.0,284,ES,,,,
JEEP,COMMANDER 3.0L CRD,16,160.0,A 5,13.5,9.2,10.8,284,GO,,,,
JEEP,COMMANDER 4.7L,18,170.0,A 5,19.4,12.4,14.9,355,ES,,,,
JEEP,COMMANDER 5.7L,26,240.0,A 5,21.8,12.4,15.9,377,ES,,,,
JEEP,COMPASS 2.0L CRD BMV6,8,103.0,M 6,8.3,5.4,6.5,177,GO,,,,
JEEP,COMPASS 2.0L CRD BMV6,8,103.0,M 6,8.3,5.4,6.5,177,GO,,,,
JEEP,COMPASS 2.0L CRD BMV6,8,103.0,M 6,8.3,5.4,6.5,177,GO,,,,
JEEP,COMPASS 2.4L BVM5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,COMPASS 2.4L BVM5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,COMPASS 2.4L BVM5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,COMPASS 2.4L BVM5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,COMPASS 2.4L BVM5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,COMPASS 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,COMPASS 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,COMPASS 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,COMPASS 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,COMPASS 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,GRAND CHEROKEE 3.0L CRD,15,160.0,A 5,13.1,8.6,10.2,270,GO,,,,
JEEP,GRAND CHEROKEE 4.7L,18,170.0,A 5,19.4,12.4,14.9,355,ES,,,,
JEEP,GRAND CHEROKEE 5.7L,26,240.0,A 5,21.6,12.1,15.6,371,ES,,,,
JEEP,GRAND CHEROKEE SRT8,35,313.0,A 5,21.8,12.7,16.0,381,ES,,,,
JEEP,PATRIOT 2.0LTD,9,103.0,M 6,8.8,5.5,6.7,180,GO,,,,
JEEP,PATRIOT 2.0LTD,9,103.0,M 6,8.8,5.5,6.7,180,GO,,,,
JEEP,PATRIOT 2.4L BMV5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,PATRIOT 2.4L BMV5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,PATRIOT 2.4L BMV5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,PATRIOT 2.4L BMV5,11,125.0,M 5,10.5,7.6,8.7,206,ES,,,,
JEEP,PATRIOT 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,PATRIOT 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,PATRIOT 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,PATRIOT 2.4L CVT,11,125.0,V 0,11.5,8.3,9.5,226,ES,,,,
JEEP,WRANGLER 2.4L BVM6,10,105.0,M 6,13.5,8.0,10.0,246,ES,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.1,8.2,9.7,255,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.1,8.2,9.7,255,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.1,8.2,9.7,255,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.1,8.2,9.7,255,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.6,8.4,9.9,263,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.6,8.4,9.9,263,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.6,8.4,9.9,263,GO,,,,
JEEP,WRANGLER 2.8L TD BVA5,12,130.0,A 5,12.6,8.4,9.9,263,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.6,7.1,8.4,223,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.6,7.1,8.4,223,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.6,7.1,8.4,223,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.6,7.1,8.4,223,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.7,7.4,8.6,227,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.7,7.4,8.6,227,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.7,7.4,8.6,227,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,10.7,7.4,8.6,227,GO,,,,
JEEP,WRANGLER 2.8L TD BVM6,12,130.0,M 6,12.7,8.3,9.9,263,GO,,,,
